Cnt Aktual,Cnt Prediksi,Selisih (cnt),Akurasi (%)
6606,6220.416612145107,-385.58338785489286,94.163133698836
1550,1571.6057632139868,21.605763213986847,98.606079792646
3747,3043.9670280786268,-703.0329719213732,81.23744403732658
6041,4307.202484001373,-1733.7975159986272,71.29949485186845
7538,6765.659071662067,-772.3409283379333,89.75403385065093
7264,7231.536105964395,-32.463894035605335,99.55308515920147
1605,774.9041467141741,-830.0958532858259,48.280632194029536
2209,2139.6066014898306,-69.39339851016939,96.8586057713821
7499,7112.745605248196,-386.2543947518043,94.84925463726091
5743,6458.992168786492,715.9921687864917,87.53278480260332
1796,2899.5201141981083,1103.5201141981083,38.556786514581944
3068,2118.782236894306,-949.2177631056938,69.06069872536852
4891,4072.2422231250084,-818.7577768749916,83.25991051165424
5260,5451.212988187961,191.21298818796095,96.36477208768135
2133,2384.5383859186672,251.53838591866725,88.20729554999215
2471,2016.2439964955347,-454.7560035044653,81.59627666918392
2046,2383.7195034958013,337.7195034958013,83.49367040587481
8156,7428.591102591859,-727.4088974081405,91.08130336674668
5362,5679.629219603807,317.62921960380663,94.07629206259219
2298,2937.102219859331,639.102219859331,72.18876327853216
7697,7227.782544192332,-469.21745580766765,93.90389170056298
5463,8234.505749354697,2771.5057493546974,49.26769633251516
5409,5165.556254775553,-243.4437452244474,95.49928368969408
1872,1451.9718410227247,-420.0281589772753,77.56259834523101
1807,1387.0436985190508,-419.95630148094915,76.75947418478421
5130,4823.525098352349,-306.47490164765077,94.02583037723878
2121,1988.7535440636516,-132.2464559363484,93.76490071021459
7436,6734.34740099583,-701.65259900417,90.56411243942752
3830,4119.293583637663,289.2935836376628,92.4466427248652
5557,5837.153765251805,280.15376525180545,94.95854300428638
2743,3036.6642457290836,293.66424572908363,89.29404864276034
3644,4139.635281343517,495.6352813435169,86.39859271834476
6196,5937.431105473446,-258.5688945265538,95.82684159899043
7494,6342.472741269003,-1151.5272587309973,84.63401042526024
5918,5404.877124366902,-513.1228756330984,91.32945461924471
3372,4962.583700630577,1590.5837006305774,52.82966486860684
7582,6846.787363179343,-735.2126368206573,90.30318337086973
6053,6131.0685054041915,78.06850540419146,98.7102510258683
2566,3109.8617135356626,543.8617135356626,78.8050774148222
1263,949.9183577299079,-313.08164227009206,75.21127139587553
3944,4072.373482764953,128.37348276495322,96.74509425038151
3956,3973.769054823839,17.769054823838815,99.55083279009507
7580,7237.998390550369,-342.00160944963136,95.48810541623178
4906,3459.285306390984,-1446.7146936090162,70.51131892358305
6966,7251.231931731165,285.2319317311649,95.90536991485551
705,2229.243805841753,1524.2438058417529,0.0
4458,5162.92102268455,704.9210226845498,84.18750509904554
5298,5008.885594326153,-289.1144056738467,94.54295195028601
6043,6047.66305996636,4.663059966360379,99.92283534723879
4996,4162.600626370113,-833.3993736298871,83.31866746137135
3351,3360.0054502043645,9.005450204364479,99.73126081156775
2431,2748.8562463151516,317.85624631515157,86.92487674557172
1011,1929.2234449029627,918.2234449029627,9.176711681210413
4475,5832.0486716742125,1357.0486716742125,69.67489001845335
4725,4919.076870362307,194.0768703623071,95.89255300820514
4727,4274.714283934149,-452.2857160658514,90.43186553700335
2395,4355.069765275253,1960.0697652752533,18.159926293308835
3351,2469.6317774894887,-881.3682225105113,73.69835205877317
4788,3865.97854623788,-922.02145376212,80.74307740680618
7175,6921.229546424971,-253.77045357502902,96.46312956689856
6153,5315.698789225291,-837.301210774709,86.3919842227416
7442,6640.626211556137,-801.3737884438633,89.23174162263017
1471,2043.8964383566367,572.8964383566367,61.05394708656446
7865,7029.977046716389,-835.0229532836111,89.38305208793884
6530,6013.411942666802,-516.5880573331979,92.08900371618381
6211,7244.540426960697,1033.540426960697,83.35951655191278
7403,7234.254151197865,-168.7458488021348,97.72057478316717
4302,5397.07845744985,1095.0784574498502,74.54489871106811
2077,1749.5054573111443,-327.49454268885574,84.23232822875033
7333,6367.3049083565,-965.6950916434998,86.8308319699509
3117,2986.551319004637,-130.4486809953628,95.81492842491618
1635,2484.877618905137,849.8776189051368,48.019717498156766
3811,3191.901833482138,-619.098166517862,83.7549680787756
4595,3946.3508987541013,-648.6491012458987,85.88358865623724
4363,4635.365270914581,272.36527091458083,93.75738549359201
2034,2747.012763327576,713.0127633275761,64.94529187180058
5686,5341.457182614906,-344.54281738509417,93.94050620145808
4748,4107.497461631272,-640.502538368728,86.51005605794592
1416,1196.1006501246416,-219.89934987535844,84.47038489580802
4401,5154.723132583513,753.7231325835128,82.87382111830237
2114,2552.6075379644835,438.6075379644835,79.25224512940002
2028,2533.1376006142455,505.13760061424546,75.09183428923839
5668,5912.465403784792,244.46540378479222,95.68691948156682
22,4270.5336079193,4248.5336079193,0.0
3940,3842.2038291454764,-97.79617085452355,97.51786368389534
4118,4285.347855044702,167.34785504470165,95.93618613296013
5423,4504.621394890903,-918.3786051090974,83.06511884364564
1495,3450.473681792956,1955.473681792956,0.0
3620,3721.76082616293,101.76082616292979,97.1889274540627
3403,3135.471468108476,-267.5285318915239,92.13845042928229
1501,819.5580413942691,-681.4419586057309,54.60080222480141
7040,7129.657120833443,89.6571208334426,98.7264613517977
5992,5924.697088864701,-67.30291113529893,98.87678719734147
4990,5173.568209336496,183.56820933649578,96.3212783700101
3095,3182.322792234783,87.32279223478281,97.17858506511202
2832,3469.0697055518253,637.0697055518253,77.50460079266153
4713,4744.962760270611,31.962760270611398,99.32181709589197
2368,2771.1340364807593,403.1340364807593,82.97575859456254
3409,3036.846319479988,-372.15368052001213,89.0832009234376
4991,5335.284123168089,344.2841231680886,93.10190095836329
7713,7446.187406377434,-266.81259362256606,96.54074168776656
3785,4863.444281152146,1078.4442811521458,71.50741661421016
6664,5931.0632173651575,-732.9367826348425,89.00154888002938
2496,2665.985364578052,169.9853645780522,93.18968891914855
2077,2243.37125386952,166.37125386951993,91.98982889410111
5267,5623.171367072391,356.17136707239115,93.2376805188458
1162,1125.101774788869,-36.89822521113092,96.82459335532437
2739,2478.103766035141,-260.8962339648592,90.47476327254986
6861,7495.56971424814,634.5697142481404,90.75106086214633
1360,1129.5574692796313,-230.44253072036872,83.05569627056113
4602,5531.810849002708,929.810849002708,79.7955052367947
7282,6351.776727134729,-930.2232728652707,87.22571720866148
3570,3272.1010422009476,-297.89895779905237,91.6554913781778
8167,6745.136175050837,-1421.8638249491632,82.59013315845276
6230,5328.5641408475885,-901.4358591524115,85.53072457219243
4511,3332.3134614393634,-1178.6865385606366,73.8708370968602
1461,1605.150450628335,144.15045062833497,90.13343938204414
3272,4382.845467143316,1110.8454671433155,66.04995516065661
5923,5084.794801580534,-838.2051984194659,85.84829987473466
2177,3427.5169119601155,1250.5169119601155,42.55778998805165
6398,5817.964051934925,-580.035948065075,90.93410521936426
1817,2850.1270499746834,1033.1270499746834,43.141053936451115
3239,3585.9028686996203,346.9028686996203,89.2898157240006
1349,1512.9108249544022,163.9108249544022,87.84945700856915
3867,4351.940537933209,484.94053793320927,87.45951544005149
5146,5962.891638441553,816.8916384415534,84.12569688220844
4541,5628.684924266801,1087.6849242668013,76.04745817514201
3368,2973.750586135754,-394.249413864246,88.29425730806871
2134,2193.922438759467,59.922438759466786,97.19201317903155
7410,6029.756549292566,-1380.243450707434,81.37323278397524
3331,3212.8129754736597,-118.18702452634034,96.45190559812849
3974,4123.997926141284,149.99792614128364,96.22551771159327
5495,5390.51321695859,-104.48678304140958,98.09851168259492
5319,4879.943165107165,-439.05683489283456,91.7455003780253
5895,4947.244595419552,-947.7554045804482,83.92272426496271
2227,1889.478319944552,-337.5216800554481,84.84410956194665
4367,5005.852945066673,638.8529450666729,85.37089660941899
7460,5880.584230853248,-1579.4157691467517,78.82820684789877
1977,1598.302120874799,-378.6978791252011,80.84482149088512
4266,5384.5373503837145,1118.5373503837145,73.78018400413234
4864,3831.2533205262152,-1032.7466794737848,78.76754359634488
1913,2362.1240453951095,449.12404539510953,76.5225276845212
2132,2315.142869175691,183.14286917569098,91.4098091381008
4258,5570.8242496626335,1312.8242496626335,69.1680542587451
2792,4168.334567633719,1376.3345676337194,50.70434929678655
5180,4420.697508915733,-759.3024910842669,85.34165075126899
3958,3891.9433526439657,-66.05664735603432,98.33105994552717
